JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2435157.8	8.3			Vis.	SN								V				RX BOO		STD				
2435158.9	8.6			Vis.	HHG								V				RX BOO		STD				
2435164.6	8.6			Vis.	OV								V				RX BOO		STD				
2435164.7	8.4			Vis.	SN								V				RX BOO		STD				
2435164.8	8.2			Vis.	AWC								V				RX BOO		STD				
2435165.43	8.2			Vis.	ELD								V				RX BOO		STD				
2435166.45	7.9			Vis.	ELD								V				RX BOO		STD				
2435168.8	8.5			Vis.	SK								V				RX BOO		STD				
2435173.7	8.1			Vis.	SN								V				RX BOO		STD				
2435178.6	8.5			Vis.	SK								V				RX BOO		STD				
2435178.7	8.2			Vis.	AWC								V				RX BOO		STD				
2435178.7	7.9			Vis.	SN								V				RX BOO		STD				
2435181.6	8.5			Vis.	OV								V				RX BOO		STD				
2435183.7	8.3			Vis.	HHG								V				RX BOO		STD				
2435183.7	8.5			Vis.	SK								V				RX BOO		STD				
2435185.7	8.3			Vis.	AWC								V				RX BOO		STD				
2435186.34	8.1			Vis.	ELD								V				RX BOO		STD				
2435186.6	8.6			Vis.	OV								V				RX BOO		STD				
2435186.8	8.6			Vis.	SN								V				RX BOO		STD				
2435188.39	8.2			Vis.	ELD								V				RX BOO		STD				
2435190.6	8.7			Vis.	HHG								V				RX BOO		STD				
2435190.6	8.5			Vis.	SK								V				RX BOO		STD				
2435190.7	8.4			Vis.	AWC								V				RX BOO		STD				
2435192.37	8.0			Vis.	ELD								V				RX BOO		STD				
2435193.34	8.1			Vis.	ELD								V				RX BOO		STD				
2435193.7	8.7			Vis.	SN								V				RX BOO		STD				
2435195.6	8.6			Vis.	OV								V				RX BOO		STD				
2435197.35	8.1			Vis.	ELD								V				RX BOO		STD				
2435197.6	8.8			Vis.	HHG								V				RX BOO		STD				
2435198.33	8.1			Vis.	ELD								V				RX BOO		STD				
2435198.7	8.4			Vis.	AWC								V				RX BOO		STD				
2435199.6	8.5			Vis.	SK								V				RX BOO		STD				
2435202.6	8.6			Vis.	OV								V				RX BOO		STD				
2435206.8	8.3			Vis.	SN								V				RX BOO		STD				
2435208.6	8.5			Vis.	SK								V				RX BOO		STD				
2435214.28	8.1			Vis.	ELD								V				RX BOO		STD				
2435214.6	8.2			Vis.	AWC								V				RX BOO		STD				
2435214.6	8.6			Vis.	OV								V				RX BOO		STD				
2435220.37	8.2			Vis.	ELD								V				RX BOO		STD				
2435221.29	8.1			Vis.	ELD								V				RX BOO		STD				
2435221.7	8.8			Vis.	HHG								V				RX BOO		STD				
2435229.6	8.5			Vis.	SK								V				RX BOO		STD				
2435231.6	8.3			Vis.	AWC								V				RX BOO		STD				
2435231.7	8.2			Vis.	SN								V				RX BOO		STD				
2435236.6	8.8			Vis.	HHG								V				RX BOO		STD				
2435236.7	8.4			Vis.	OV								V				RX BOO		STD				
2435242.7	8.5			Vis.	OV								V				RX BOO		STD				
2435242.8	8.5			Vis.	SK								V				RX BOO		STD				
2435243.6	8.4			Vis.	AWC								V				RX BOO		STD				
2435243.6	8.6			Vis.	HHG								V				RX BOO		STD				
2435243.7	8.6			Vis.	SN								V				RX BOO		STD				
2435247.6	8.5			Vis.	SK								V				RX BOO		STD				
2435248.37	8.1			Vis.	ELD								V				RX BOO		STD				
2435249.7	8.6			Vis.	OV								V				RX BOO		STD				
2435249.7	8.9			Vis.	SN								V				RX BOO		STD				
2435255.7	8.5			Vis.	SK								V				RX BOO		STD				
2435257.39	8.2			Vis.	ELD								V				RX BOO		STD				
2435265.6	8.5			Vis.	AWC								V				RX BOO		STD				
2435271.7	8.5			Vis.	SK								V				RX BOO		STD				
2435272.6	8.6			Vis.	SN								V				RX BOO		STD				
2435274.6	8.4			Vis.	AWC								V				RX BOO		STD				
2435274.6	8.6			Vis.	HHG								V				RX BOO		STD				
2435274.6	8.6			Vis.	OV								V				RX BOO		STD				
2435276.6	8.5			Vis.	SK								V				RX BOO		STD				
2435281.39	8.2			Vis.	ELD								V				RX BOO		STD				
2435285.6	8.5			Vis.	SK								V				RX BOO		STD				
2435300.6	8.3			Vis.	AWC								V				RX BOO		STD				
